Compound,n101.cdf.csv,n102.cdf.csv,n104.cdf.csv,n105.CDF.csv,n109.cdf.csv,n111.CDF.csv,n113.cdf.csv,n116.cdf.csv,n117.cdf.csv,n118.cdf.csv,n120.cdf.csv,n121.cdf.csv,n125.cdf.csv,n135.CDF.csv,n14.cdf.csv,n145.cdf.csv,n146.cdf.csv,n151.CDF.csv,n152.CDF.csv,n154.cdf.csv,n160.CDF.csv,n162.cdf.csv,n166.CDF.csv,n168.CDF.csv,n173.CDF.csv,n178.cdf.csv,n183.CDF.csv,n186-2.CDF.csv,n188.CDF.csv,n198.CDF.csv,n199.CDF.csv,n212.CDF.csv,n214.cdf.csv,n216.cdf.csv,n222.CDF.csv,n224.CDF.csv,n229.CDF.csv,n268.cdf.csv,n269.CDF.csv,n270.CDF.csv,n274.cdf.csv,n279.CDF.csv,n31.cdf.csv,n34.cdf.csv,n41.cdf.csv,n49.cdf.csv,n50.cdf.csv,n54.cdf.csv,n55.cdf.csv,n6.cdf.csv,n64.cdf.csv,n67.cdf.csv,n72.cdf.csv,n74.cdf.csv,n80.cdf.csv,n81.cdf.csv,n84.CDF.csv,n86.cdf.csv,n9.cdf.csv,n92.cdf.csv,n97.cdf.csv,x100.cdf.csv,x105.CDF.csv,x106.CDF.csv,x111.CDF.csv,x128-2.CDF.csv,x13.CDF.csv,x133.cdf.csv,x137.CDF.csv,x138.CDF.csv,x14.cdf.csv,x142.CDF.csv,x143.CDF.csv,x146.cdf.csv,x148.CDF.csv,x15.cdf.csv,x150.cdf.csv,x152.cdf.csv,x153.CDF.csv,x157.cdf.csv,x159.CDF.csv,x17.CDF.csv,x171.cdf.csv,x175.cdf.csv,x177.CDF.csv,x18.CDF.csv,x185.cdf.csv,x186.cdf.csv,x187.cdf.csv,x188.CDF.csv,x189.CDF.csv,x190.CDF.csv,x194.cdf.csv,x195.cdf.csv,x196.cdf.csv,x20.CDF.csv,x21.CDF.csv,x210.CDF.csv,x222.cdf.csv,x226.cdf.csv,x227.cdf.csv,x26.cdf.csv,x27.cdf.csv,x35.cdf.csv,x36.CDF.csv,x38.CDF.csv,x40.CDF.csv,x41.cdf.csv,x43.CDF.csv,x44.CDF.csv,x45.CDF.csv,x47.cdf.csv,x49.CDF.csv,x56.CDF.csv,x57.cdf.csv,x59.cdf.csv,x60.cdf.csv,x67.cdf.csv,x68.CDF.csv,x71.cdf.csv,x73.CDF.csv,x82.cdf.csv,x84.cdf.csv,x85.CDF.csv,x86.cdf.csv,x88.cdf.csv,x89.cdf.csv,x90.cdf.csv,x91.CDF.csv,x92.CDF.csv,x93.cdf.csv,x95.cdf.csv,x96.cdf.csv,x97.cdf.csv,x98.CDF.csv,x99.CDF.csv
Oxalic acid,16116327.12615245,14476916.652805079,5114205.045509969,14238548.302294083,13966171.674797898,15219331.478739295,15203455.184477855,17191921.20568654,13870539.696128994,13925087.932485137,515799.71048923366,17665030.839744423,14433456.994810078,4040400.0040413355,15892.051454138696,16922510.09358885,15729619.346316133,17439879.705397163,17124577.10631789,16197513.764716636,5769362.240336746,440123.9630413559,14255783.314754229,14052586.441111473,12833207.597010754,14563183.548643067,11765986.640283288,2142393.365994354,15971209.881975897,4086109.465765374,583515.3853442281,9840984.246337496,4646750.682500474,4071469.716318606,14190304.263000164,513887.4767447704,13805801.222442072,16609595.444592947,10589389.009162065,9480447.804113034,4986988.341860866,12015735.367542433,14555340.917833721,13259379.260114118,12930372.384423975,13625822.92998341,766920.255936454,13274607.999064783,12694549.778266368,446828.07055738417,15765373.566388141,4342342.133063914,12441426.33686719,4367918.975107591,467316.40923757514,14184575.608517978,15023960.067145139,14353078.491905596,528184.4068719773,14014608.311353536,5424487.634526815,13748604.76515585,17033238.215768788,2334287.2255985625,15801967.644301672,11556038.871684793,12933808.369133642,17035048.16515666,11658120.600203723,11800849.731038334,545261.8850903776,10981658.56653899,14610227.810323078,12532227.139235627,340354.1623342719,424349.6576834666,457847.45214456,13634860.459308354,10724570.148591645,13751197.70588979,9644962.23065051,16598729.263369387,4759495.42727527,12790436.254220488,18720326.4499418,5083044.909096699,24021.459564249984,775813.9257226877,14967532.3178354,13134921.637890037,11413131.484244678,9361135.048998533,667256.9095620244,13867287.567646548,19463017.748176217,515474.8567535984,10364269.05254751,13394967.024611399,4344462.42833481,12258683.286948526,477415.4545040939,9791925.84159685,12508451.208836367,497264.520264755,10498555.234939463,17520847.411154795,3985717.9169575386,12907028.669482823,10573294.821407724,11061538.940699335,15402564.105705926,1934458.1966491658,8602323.11639598,13487521.626973901,5048042.321647316,403991.7938843202,14851190.37943269,12482195.835119456,15355869.043728422,437820.7491329905,9981016.543360885,3107564.4927731077,5369857.945152521,7718943.086392586,16814132.104614325,12118043.709005002,453144.7930805926,9284529.350493222,13103259.546880653,12830671.759809941,565500.4573989813,14828364.262272261,15325401.153269814,17073363.171748295,10752496.282330591,10384137.804519815
Lactic acid,70738220.94513342,596629.785896885,76670039.19180109,86803698.1266065,292116.5022996805,59667664.388695,85072656.74586678,84226550.22237757,94985154.006233,316888.6592230239,108684002.05450675,94840536.19101205,2219230.9704074063,1334661.3279176666,1154960.4782132634,122037962.32390246,105390858.32506609,145074691.504713,48084802.3398514,75548809.49319682,72364681.31181881,713913.066745132,78554720.17719766,59805285.19940199,520215.3292027092,49789046.868968636,100012.55745131944,45895741.995839156,88995723.36216822,111584701.77463986,96926140.66396934,46142115.61503473,52215631.72476572,54264608.53773856,89006833.23241201,132544056.7401451,726083.5965930877,57718297.423495784,67551982.23167017,121001966.26633745,98690414.4432288,76008001.06438142,84003044.16579059,49668611.11334442,76885059.88939777,80127770.87521909,81790733.03548068,92076899.37412915,70242503.24091406,7445.348566308244,275814.80837551947,789992.7026465358,107360229.76753011,84930076.73960616,122474513.5792281,82561287.06197447,95876921.62494792,82129749.58713797,109086671.38484655,304731.47163144185,329225.11952206725,102711510.26818964,100352712.86043194,669941.5279951764,118089262.05766524,110783394.09236106,100690494.69301458,135276767.50719726,129245250.36527854,1277368.1462074427,327116.4755443336,115213370.58460611,714861.957182788,100308467.21830863,108341719.44311832,126974473.19510514,149932835.1132062,90017785.14595899,77406693.94833472,128377449.27826935,85597970.81821132,140946481.6882593,339485.3855512255,641774.1201059204,85680834.48430654,121309514.14969078,94227098.52350509,302456.6325608867,333897.04897604825,815062.1830486557,86419359.98021528,1232921.6115923629,106365882.5412458,655462.8805099947,89804294.05961514,95164580.61434889,1342531.6963085202,84905078.44496372,74395.5082362476,7832549.987760868,87524016.91424954,99065667.62088585,126047133.63553491,86482364.3722538,81511747.3790524,799045.1208174533,136152419.08316046,97603466.34315133,117863674.77166368,1026255.7774629606,1255358.5753570083,49441000.60296019,101883188.54810536,88492625.15531272,108175172.65788606,108349994.22222832,133588179.72595671,109636402.74285552,89656023.49023646,98444325.10206565,1383859.9508089144,782827.7346647744,109934392.735072,118155943.36499736,1045319.581287842,79241271.91054325,104258555.13618782,66728552.35741535,93364540.617761,559634.1992272123,135238105.75576454,121396277.10845025,128962115.73839378,112240163.6079891,89496212.25580613,111923503.56751652
Alanine,5944407.770830512,4764619.143538987,6626538.794706399,5542385.201422403,5321662.4322720235,5500177.43114867,6761539.675453431,8110022.1806992665,1408945.054502582,8358405.824095598,8823972.04697422,52131.91038835951,6846998.707916231,5592794.382493088,5694145.659175682,6834090.095439821,7100860.286069857,5600077.583053098,7330628.351813914,5734867.872265018,4135454.3423910546,6146475.4846417215,7479534.7445004275,5581812.232854326,4393497.354578424,4073491.9752580114,5707405.9841356,5014530.777091768,7592170.022176279,6330021.217436884,5887094.69322123,4410625.660593789,5706908.398882659,5125945.753138536,6056010.979581366,6518355.851509191,6120585.657222405,3965579.737114631,4720571.889467804,7905791.383076761,6842505.509057786,5350389.125622967,7836634.351099225,6162278.253078562,7133479.875803236,6248315.646030662,6798572.191031924,6317858.28331912,3728115.202994238,7350755.467668681,6218667.270075647,5140721.598893641,7859043.862893276,291363.928808094,7184241.237649111,6271155.689263641,8177366.954839046,9431011.693209186,8841452.159397945,8243036.520531105,7937899.510846606,5317616.036902667,4043043.62958347,2895202.1229523346,6879430.046388961,8083093.913045008,3730070.9150761943,9299676.77607644,6027120.276186778,5302059.158489769,6873238.750305854,6435073.58567432,4465932.521074262,5817018.275005962,5928440.642319623,6955033.590578247,2938833.6016489738,5100227.250767245,4989242.596312469,7403687.758249168,2823181.784719486,6074121.869835962,7327311.0391555745,2984621.536947809,8488374.24578023,6817771.689785435,4590661.4071047595,5377954.595434556,7766846.538108509,7797362.583665201,5015229.347152631,9246692.848878138,4898032.1120157605,4389364.002367668,3537342.8128546276,3541198.8148835,6315783.776332421,2973036.335936731,9195750.83425409,4148555.205451928,4937408.875784827,3488690.103090008,7329772.092953047,3948096.6498047085,5958051.505479131,4262000.345296895,6788150.744200171,3705906.945378205,5713105.157161947,5962382.021989254,4893043.046169797,4026661.0993573694,6817413.227289014,5208090.728200546,4202122.0654461365,4760752.518713476,7144018.51201677,5580671.5163062345,4608201.689085556,6952030.762272423,5850190.22231408,3213940.7535179853,6255451.250276215,3866382.757885751,8219452.646581022,6643673.823487781,5732462.879441794,6026420.166260344,7565015.3774049645,5851341.814624812,6982378.896537809,5172618.518555614,7968089.972982522,5473764.096329074,6528736.234307876,6657391.483844218
Glycine,4482038.3547455855,3152750.3215791853,3871459.6854879865,3569829.126796889,3122443.5033669295,1785228.3967114696,2727734.132033652,3926363.8092759233,2358922.6061050994,2784236.1255282755,2710127.1573568485,2564057.4964481993,2804123.736157858,3695155.2698379075,3242907.3929901784,3981714.0645102193,3336440.5844364576,3551625.6593008065,3157870.2632599846,3076990.7162028872,3216513.2317979373,2191521.093074024,4110427.648614687,4328565.052713736,3404234.749682097,2917825.990304824,2676362.9568256317,3279817.8232365865,3056271.185549707,3943589.7280873167,4283461.124869746,2408211.835920984,2890527.922972601,3030385.180951298,3693109.39668605,2777344.247520454,3620149.4079646706,2770018.719194093,1840199.3697515382,2354224.210330485,2932447.5133979195,3017687.106327825,3112369.5993420025,2714925.066452776,2948531.248360586,3098317.198008326,4251811.149051887,2410209.0903636776,2458457.8313662093,2756395.4070826788,2897873.9012538265,3436279.8008833644,2686648.5804219926,2801884.5211248593,3748807.5269488953,3184601.5648644795,3819864.1432065624,5458461.743232971,3359648.0736937355,2565646.2628989485,2538648.899212527,3844061.9731332413,1988617.1286891438,2968044.1572495294,2597208.2149027446,38798.541247983594,2773913.9718814148,2359218.449930591,3053381.919266172,2731241.2719543306,2241817.0542245125,2151716.996363745,1929350.8514362206,2112559.121245107,2684114.2066744245,2547149.3971341643,1450362.1165739521,2979968.6185484426,3246821.57010297,2906275.125042379,1497896.1670994987,2329961.1901711235,2709075.4493326405,2441193.7231773464,394066.8241566414,2550747.781371444,2407986.825656963,3388929.601362586,2622202.654062405,3350172.4315264975,2372667.0797697157,3213729.971136256,2469212.4924829593,3229532.631038216,2913345.124209137,2423831.416749471,2903560.314020686,1597289.4586062143,3710097.743485272,2065706.1352147956,3049684.6625629147,2131594.1996935364,2333991.4172703344,2126765.4359871643,2533036.6884669056,2102589.8174197488,619189.5300652119,2576692.5339773335,1839611.6524814074,2813370.839068384,3091700.6483405144,999449.0887250827,281044.0681595533,2825700.0499307397,1987828.5593503057,2652752.6547058728,2317899.901563293,2831844.5959202647,1321354.3773836854,2890140.5868538804,1769368.6368867666,2992858.572120754,2305103.245527961,1206192.4212650093,2780327.2122290656,3025473.5027753646,2942829.1566464566,2707010.1745113516,2964004.0018620985,2466842.003103014,2572190.3753142236,1988017.758216507,2982798.8664927855,1869350.534310272,2626208.5386232515,2557185.2949246396
alpha-hydroxyisobutyric acid,771774.1664884756,643308.2152494611,248175.7813695489,3569829.126796889,3122443.5033669295,1161278.820059792,1355342.0975430773,244149.87992013822,1850031.3024460205,1437862.389689242,1398709.5203399686,1386686.6462399159,1677718.8690629664,890110.3802933868,3242907.3929901784,3981714.0645102193,1050833.053934659,1694801.7344175659,3157870.2632599846,902158.2333759565,1294641.7423647232,1417753.3680125824,967027.5965021254,1103836.5743653914,3404234.749682097,1741639.467935818,1237967.4573119546,3279817.8232365865,1417115.0775424342,935089.0361399883,4283461.124869746,971149.5836313188,1088829.822297463,1146214.1129889481,3693109.39668605,2777344.247520454,3620149.4079646706,997418.4604047853,1012501.8399304927,707642.6745554885,2932447.5133979195,1151746.0520255025,3112369.5993420025,889006.5766152896,2948531.248360586,1226622.5966978087,684401.407239778,1441238.879221282,1218615.5536689535,2756395.4070826788,1580573.7607584605,1430559.9223331388,2686648.5804219926,1049641.641130366,1204411.5281039872,1316394.9276587314,816128.2561651415,851368.8548244874,1079903.5091471225,1300094.6679447656,1395087.936818933,3844061.9731332413,1506319.4041468713,693581.2787474648,1244631.4780325845,3123847.686282713,938866.2169453518,3104935.7045068303,1377292.3431527596,1008674.5328702502,1512490.2835212776,604683.5518759167,1369841.0367898988,2112559.121245107,1181683.4119247962,2547149.3971341643,2313842.767542208,1664804.3882089802,1080760.0730987894,825622.5576820506,1656160.3440855013,887846.5398823484,1756138.4838592708,2447888.678106239,1305222.0727972293,1115490.5455884174,435331.7027629679,845007.5608670858,1832537.782106643,3350172.4315264975,1076803.4608087176,816025.2980154271,1685118.960625001,1158105.767322753,1877330.0306355236,1589388.7893291642,444330.21338216204,2616072.8046454815,940752.7533097815,2065706.1352147956,1489161.1905922748,2131594.1996935364,1494415.4633049886,2126765.4359871643,662195.2909984648,1211495.0279714444,1086510.4556398527,1154203.4746213334,1191736.8737901808,1035406.8874932854,3091700.6483405144,679755.4588903369,994741.550140221,1365760.8271458857,1315953.3434219358,2652752.6547058728,1239223.6620614505,2831844.5959202647,1321354.3773836854,1237949.1401004153,1827844.1228720841,778315.6301795824,925940.4283219484,1206192.4212650093,1892940.8168238108,996928.0373358089,1350426.8309400813,734493.3398509915,1368746.8351138907,924318.2059993814,1833115.858077418,1396272.946688709,1631293.022620353,1210695.489261981,959756.1559643456,317140.6631405208
N-acetylglycine,1510866.2027065593,1426199.2581426988,1383800.285153529,1220486.806179397,1313346.221674195,1036640.8293156524,1622878.5538752931,1362853.5942892514,1310873.813456392,1411533.4441957455,1148083.5577076413,1205179.2589546898,1375287.8023355077,1239155.563696844,1141835.1501651283,1472696.6460840236,1403197.355451772,1442887.9961978626,1106427.0547877266,1184670.1527448415,1253076.1288838666,1016966.4619337963,1402103.8533128886,1187108.7463230586,1010759.3252470943,1132179.5942649732,1341804.90263461,1189674.8078237257,1405646.3741315887,1135189.8775405325,1090487.9693048978,1061764.7874705875,1241566.989236293,1401811.284072595,1252722.5650602793,1280773.8048289956,1348028.049523767,1278607.0798696463,1072856.7103709606,1223866.4479166311,1165110.9635798738,1171722.4554036725,1139669.9724962472,1256661.0153394667,1206953.7234624056,1223942.439251416,1275708.8124047015,1422278.8077428397,1268643.6568583706,1170431.0809558907,1349345.440476436,1179706.644912665,1312454.2195775073,1350695.3304217386,1315331.1324055037,1364461.3261701479,1302326.6681592874,1390793.9299546187,1161515.5654411549,1250920.540258087,1152837.4499234417,1353277.4473786994,1100083.7453216396,949685.8580265399,1102851.2220580792,1074302.9292065576,1394435.9002790602,1505088.7606830448,1332618.1728371002,1050534.3177837813,1413275.785909714,1058073.4811288053,1085535.342600566,1097995.5530597921,1175566.171672083,1422045.3757491745,1083300.7411484625,1361058.4396327836,1168745.1581755178,1327902.7573684382,1147173.813478371,1206555.3521133717,1890342.085602739,1349567.0491026076,1201866.950467592,1230470.6089541398,1228039.090034806,1214909.1206001283,1333564.3537222364,1204606.6067931768,1204875.8076220271,952741.506846639,1546625.9480653456,1513948.7448173973,1131540.365113635,1428357.514393725,1105654.867071119,1040490.877157514,1278074.92594755,1237253.9422207535,1115039.8669344415,1064818.4494239646,1454665.9626335409,1262914.7630625768,1142306.307727679,1043694.9284298574,1372170.8632572603,1415934.9831753427,1024001.7408332928,1280532.5699062434,1007148.1806674617,662452.2189663784,1062870.1875807,1451147.1504987327,1315953.3434219358,1121258.0120565929,1344812.8684022934,1167737.2385205964,1085016.8565690937,1263471.1101910989,1108910.168198017,856986.0854102002,1141088.849913263,1431776.2331759417,1487616.8407851774,1285643.851931198,1360272.7206597924,1415846.1818662041,1303936.3331678163,1427365.6673098959,1451374.2161649796,1363736.5311850342,1537703.22203281,1463983.4220740064,1171669.67311163,1131141.0621448932
Acetic acid,585988.872233317,647326.678775752,620939.7800151203,524093.8768751976,548248.5141071219,892633.449929622,570584.6518283151,200927.36022626114,556168.4618927143,546483.1142522418,1051496.8358554917,260700.73597894917,37273110.49479723,537482.9075449354,514634.7551691702,664523.3570758794,493722.78443735687,699483.2529145516,1187999.0578442751,98713.0479827245,19066940.144933827,783213.5608716153,905263.9496638807,957801.3847593537,529735.0499747338,525348.897241699,555063.4770178995,534172.2831516438,688008.2838069848,898442.1799216506,531604.8260694817,368093.1141736539,560743.9654583158,771248.2128748916,599138.9762708176,438490.8278354906,268349.551704145,248846.02870725063,605815.4616649894,29434278.142517038,618451.2391395769,679759.342535983,657079.4337342875,589090.6625484949,318172.7666271757,644657.4814218478,528028.0357980151,83495.18868685239,629421.4472292664,655453.7249869723,671397.8441822203,659606.1423465156,624120.9956986918,587777.1441694329,809465.3325087577,599373.7885855898,528936.0628841575,718773.1217301404,653198.1822555296,34066492.08947384,348526.50864673406,524386.6226295837,921275.9715367174,458073.53477174323,1191417.5382546112,721519.582049743,489055.2087318081,997061.1736271352,770541.9636659306,586052.7815946043,564849.8813771331,707434.600752308,1107315.2798574618,650120.4738129547,338666.9396350696,732661.9940403326,602521.9716898046,517087.1359412263,632752.4170459418,833091.7102872084,488337.0522603042,1200990.5804119948,878722.6320350869,694101.3508041117,1184903.0772255627,600219.7814466376,268666.73177554423,597365.6959657398,673104.8567874841,513788.29444582516,445914.91940157034,437995.5709651194,592520.0515835595,580768.1828788079,1112241.360695309,649014.1444556904,382831.7382741545,670430.9593091641,480136.22903910873,877841.8005992807,647758.2072818631,997716.0118250732,580908.7999383752,776848.4572874903,455480.40041388845,1066942.0631637883,454653.5924440022,480635.5237314329,641747.6654396679,23343111.447272573,926512.6953281312,553519.2994026939,709587.6824635465,537291.237923124,719242.1467515877,916224.1353956503,738886.0570253006,691252.1293142198,922543.509055357,493036.00264326757,477955.4249656012,745210.447251104,510657.73766186903,595272.7511277238,671892.3949364647,568345.2264396376,719430.8107031966,605864.1662640665,530509.2572639735,481635.04188202333,481693.63309860125,545016.1168782404,488859.7078666107,1127380.7914500264,20097547.01207905,453462.66194937
¦Â-Hydroxyisobutyric acid,1301239.6797217773,1426151.493979635,745396.8053882839,1352557.3209307287,1208143.9488507335,826860.2720791503,607613.5623140464,1142948.2035899158,1184948.7915852568,604620.5738137721,665514.7917644291,989549.0762175444,1186761.7503906556,432967.83962836646,814709.746556974,711393.81071139,680102.2908710983,1244336.5079326709,55838.53166019281,639073.7434685077,3275025.7685300023,1601279.3126097391,460027.74647413054,103806.33477370287,3088721.2741859425,2788518.9965077764,730573.6072729304,198045.3434984645,785042.4585152382,442045.81842758245,968932.3919415841,618142.831506371,878015.4375611972,348542.34343975363,885925.7960101473,949908.2670177451,508985.92051070154,1746029.8696308956,1125140.9138969085,508205.76238594734,903353.274592535,1186384.6378639427,592998.3811868379,308043.6203317592,529047.3596718047,1099701.0601099418,1194887.1364286304,1049688.7314221738,365038.52760296443,783130.4613670285,1000433.6184157723,571391.4484714894,776485.4007946549,528403.8953162435,618886.4170054249,1004045.9265007256,1125069.9047834768,1110596.953396192,544670.8475735614,155613.00967751,1026376.4573388458,934725.0880876716,1065003.1162204253,4499108.312478963,462880.8879830695,422981.4910159883,960820.5541988255,961053.3801330766,422521.16494433,915682.0920846,983500.7105446074,1378782.7359266034,607114.1920751462,342284.0530549362,1358830.125547815,449562.22370749933,3603998.5426468584,489394.5043086738,739429.3652293792,729422.7118700545,1540878.0294929566,489044.19398623845,860639.6433450744,371288.5803706036,628389.115837575,1081449.5969009716,3096789.6723031616,581389.5830181963,1055640.2523710765,449117.77427216247,1305341.7699470674,608029.2659918936,998584.8955928449,3231753.027754861,7364018.095506739,1330508.5291072468,1130086.1540779262,3630575.757578332,630303.1166774032,911367.0763610129,895225.7123813202,866039.6705739833,1389540.1768652974,822353.9050929559,915773.3356973727,282239.9712917907,803797.4791328742,1558819.9001794015,1063578.1216586628,2011000.69239857,711470.778136902,564472.5317700466,212540.49426456235,1140560.5084390487,537921.8277890971,352689.26090919005,1001857.561582034,537869.1804115027,1569746.5635870083,920398.3971188925,1284762.767134361,482692.3143556164,1199374.4540945762,1228415.1717532508,1015051.2362825591,570286.5743925804,524456.4760506249,398083.9815359053,1211599.8072838322,1016827.2633754134,819004.3586718491,1195351.6160234169,868372.3658331421,441202.2548756562,110646.63419725269,1080260.2879983191
Valine,3929966.9312392105,4525535.077743657,5004860.311697952,3865809.045826518,3215214.4266499886,3709909.289003313,3884274.304178466,5634268.855302186,4726483.9676479185,3740549.7877592985,4939825.396322198,4493297.657970177,4591655.226453852,3656706.6604667194,4259564.127746765,3593312.9520055037,4235657.813991595,4884239.78540631,4857206.212634282,3756175.4908074858,3938821.2534111287,4716138.057927157,4458961.522966554,3453370.270609658,3967193.0453893514,3813440.3031581375,4110704.4434159524,3098122.662984764,4444334.288983516,3815566.0513498737,3735917.179363179,3604831.829648302,4307383.945161551,2996336.3962320425,3909245.3548780493,3522743.333512704,3888610.843814631,3343926.4708242435,3380146.3004038883,647898.660726835,3973364.20477753,3259827.0292719654,3767247.801195752,2922866.0405653855,4348128.3549069315,4776747.017619694,5032959.957222428,3865711.9238110473,4077435.834405856,4544353.545376872,3998173.259959736,3445458.0929109147,3911979.6411584164,4099604.8989233123,4638585.118339769,4661835.413163787,4324483.892034685,7036983.943960276,599042.107311788,4904443.858969204,5723195.31451425,3565876.553677577,572273.6903307445,3494900.593389471,3932939.6648011357,3024996.6196227768,3054400.3787791785,4076534.338310282,4154824.0938093057,3302835.2634900208,4137454.224710184,102705.56954386813,3201563.636725142,2837173.9431245723,4113490.5183630707,4463969.379597275,5276973.232031895,9159058.770808421,5723635.737612981,4232297.8766076565,2203240.2704092804,4738795.152069019,4380430.302022632,3106874.8580732606,4492544.351487634,3652041.257903802,2137257.9246215234,3577989.8457968794,4734488.363376913,4231278.334211415,558648.4889325238,1552271.7694735564,5419348.549693786,3208306.5131334527,4138251.5206198115,3476553.0035184096,3067809.0084167197,5856427.066871677,3661310.6719628796,1619509.972147324,3010930.059769649,1577186.1684110463,4639817.87467256,2996644.0782947415,3278207.362528181,3543970.4022405585,4412402.368256083,3283741.2623125776,3867206.0695171123,4403386.551393241,2780813.5451433924,1858134.6632311784,4109391.7294729017,3347379.416061694,3922153.487261746,3416723.146441356,4354079.163280529,3414843.800733364,4080125.2204953306,3980084.2520257644,4132594.7053187336,2051537.2744457168,5244542.311883515,1517562.201763392,4875568.686444165,3387192.990178507,3496085.321446621,2856904.3599312934,3803574.803178124,3616725.3286097157,3695137.5786911054,4184593.867187674,4334223.282225292,3777292.8611253053,3803724.58874307,4016295.8848115024
2-aminobutyric acid,2623078.0365406442,2418973.9177497183,2587101.3057471015,2373801.3295797026,2241925.419082692,1815348.0543461232,2399880.111668734,2630589.538662843,2235162.7529770187,2301736.2233484536,2424891.307459601,2419121.2927910015,2379461.9901632336,2024480.6301190197,2325123.1389269317,2545724.1807547635,2567505.9290450327,2685767.3990089293,2319812.540665875,2453426.020164576,2466309.6298502823,2212390.242812233,2296845.2286592694,2253543.8496121163,2231932.271433971,2381994.6855364116,2158618.495260318,2262674.533307302,2576934.098373683,2187373.961681908,2319080.963672515,1655318.941755514,2392975.443506495,2290925.5608789762,2359966.9485464576,2233492.6416245014,2296530.078256906,2501417.4853320797,1602362.1074370577,1991182.002555669,2241430.6583161894,1917195.201563883,2316627.709835469,2178370.445320128,2266767.822388939,2283850.5054830937,2341295.0656098123,2275591.0083719557,2273515.0619025603,2317666.7001729673,2529425.23886567,2221935.4192667566,2213240.212655899,2288794.8672833797,2407633.642423822,2276732.902992286,2396436.7671416323,2412843.8212113143,2287353.3199054888,2431899.2612155024,2259760.121302329,2476613.510652612,1963107.6348816697,2071370.5428770129,2209078.2308799354,1892925.3665986953,2105007.140676098,2564548.6668065693,2204352.035322028,1840796.4071817838,2325719.713238675,1929234.1254894868,2139372.2007659143,2179569.595792465,2088015.5643694317,2371284.630653668,2102013.4005982014,9159058.770808421,1768036.1488700546,2263144.0719313663,1884549.0606243392,2388039.653884175,2279200.7349895374,2277457.584655692,2337942.5315234046,2271218.101169618,2137257.9246215234,2237089.029352417,2373401.833055537,2228320.2612141944,1964496.102371901,1552271.7694735564,2561282.3843621407,2168904.6936255596,2391056.7931779395,2293460.647904838,1691429.1960196258,2276599.2099740063,2263345.951223051,2226430.126278949,2369240.771892962,2372570.482490644,2253343.1035334305,2244237.394186968,1842559.0733973617,2174254.076720543,2486588.0124227908,2214883.455271844,1757550.284732573,2088198.4742485026,1797321.0950885958,950579.1889290573,1786197.5925012473,2227990.8470006464,2183834.1537082987,2228327.2715700483,2363862.2265273016,2194267.5846727146,1920012.6300200354,2333451.0370354545,1751009.3472875606,1460444.857640449,2310262.638106252,2059794.6331856241,2588129.6705721393,2118072.3288439703,2268391.4877356812,2023126.1201170424,2218430.1317169564,2340733.95241555,2487470.6363413758,2378912.788115627,2432527.578820383,2477992.672052612,1774610.7447761265,1832726.4109762264
